"Refs","Value","Qty","DNP"
"C1","100uF 25V","1",""
"C2","10uF","1",""
"C3-C6","100nF","4",""
"D1-D7","1N5819","7",""
"F1","3A","1",""
"J1","12V IN","1",""
"J7","TANK SENDER","1",""
"J8","RS485 BUS OUT","1",""
"J9-J11","VALVE","3",""
"J12,J13","OUTPUT","2",""
"MK1","Soil probe - sector 1, slave id 2","1",""
"MK2","Soil probe - sector 2, slave id 3","1",""
"MK3","Soil probe - sector 3, slave id 4","1",""
"Q1-Q5","IRLZ44N","5",""
"R1","220k","1",""
"R2","39k","1",""
"R3","820R","1",""
"R4-R8","100R","5",""
"R9-R13","100k","5",""
"R14","120R","1",""
"R15,R16","680R","2","DNP"
"RV1","0-170R float sender","1",""
"U1","Lolin S2 Mini","1",""
"U2","MP1584EN 12V->5V","1",""
"U3","TTL-RS485 auto flow control","1",""
"V1-V3","12V NC solenoid","3",""
